,100-F-T2-RE2-C_S87_,10-K-T1-Oli1-B_S12_,11-K-T1-Oli1-C_S23_,12-K-T1-Oli2-A_S34_,13-K-T1-Oli2-B_S44_,14-K-T1-Oli2-C_S55_,15-K-T1-Re1-A_S66_,16-K-T1-Re1-B_S77_,17-K-T1-Re1-C_S3_,18-K-T1-Re2-A_S13_,19-K-T1-Re2-B_S24_,1-K-T0-KO-A_S1_,21-K-T2-KO-A_S45_,22-K-T2-KO-B_S56_,23-K-T2-KO-C_S67_,24-K-T2-Oli1-A_S78_,25-K-T2-Oli1-B_S4_,26-K-T2-Oli1-C_S14_,27-K-T2-Oli2-A_S25_,28-K-T2-Oli2-B_S35_,29-K-T2-Oli2-C_S46_,30-K-T2-Re1-A_S57_,33-K-T2-Re2-A_S68_,34-K-T2-Re2-B_S79_,35-K-T2-Re2-C_S5_,36-K-T3-KO-A_S15_,37-K-T3-KO-B_S26_,38-K-T3-KO-C_S36_,39-K-T3-Oli1-A_S47_,3-K-T0-Re2-A_S22_,40-K-T3-Oli1-B_S58_,41-K-T3-Oli1-C_S69_,42-K-T3-Oli2-A_S80_,43-K-T3-Oli2-B_S6_,44-K-T3-Oli2-C_S16_,45-K-T3-Re1-A_S27_,46-K-T3-Re1-B_S37_,47-K-T3-Re1-C_S48_,48-K-T3-Re2-A_S59_,49-K-T3-Re2-B_S70_,4-K-T0-Oli1-A_S33_,50-K-T3-Re2-C_S81_,51-W-T0-KO-A_S7_,52-W-T0-Re1-A_S17_,53-W-T0-Re2-A_S28_,54-W-T0-Oli1-A_S38_,55-W-T0-Oli2-A_S49_,56-W-T1-KO-A_S60_,57-W-T1-KO-B_S71_,58-W-T1-KO-C_S82_,59-W-T1-Oli1-A_S8_,5-K-T0-Oli2-A_S43_,60-W-T1-Oli1-B_S18_,61-W-T1-Oli1-C_S29_,62-W-T1-Oli2-A_S39_,64-W-T1-Oli2-C_S50_,65-W-T1-Re1-A_S61_,66-W-T1-Re1-B_S72_,67-W-T1-Re1-C_S83_,68-W-T1-Re2-A_S9_,69-W-T1-Re2-B_S19_,6-K-T1-KO-A_S54_,70-W-T1-Re2-C_S30_,71-W-T2-KO-A_S40_,72-W-T2-KO-B_S51_,73-W-T2-KO-C_S62_,74-W-T2-Oli1-A_S73_,75-W-T2-Oli1-B_S84_,76-W-T2-Oli1-C_S10_,77-W-T2-Oli2-A_S20_,78-W-T2-Oli2-B_S31_,79-W-T2-Oli2-C_S41_,7-K-T1-KO-B_S65_,81-W-T2-Re1-B_S52_,82-W-T2-Re1-C_S63_,83-W-T2-Re2-A_S74_,84-W-T2-Re2-B_S85_,85-W-T2-Re2-C_S11_,88-F-T1-KO-A_S21_,89-F-T1-KO-B_S32_,8-K-T1-KO-C_S76_,90-F-T1-KO-C_S42_,91-F-T2-KO-A_S53_,92-F-T2-KO-B_S64_,93-F-T2-KO-C_S75_,94-F-T3-KO-A_S86_,9-K-T1-Oli1-A_S2_
ASV_1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,4,3,0,3,12,1,1,0,0,1,0,0,0,1,4,2,4,8,5,9,6,4,0,0,4,0,0,0,0,1,0,0,0,0,2,0,8,0
ASV_1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,1,0,0,0,1,3,1,4,0,0,0,9,12,19,1,0,4,0,0,0,0,5,0,1,3,17,0,1,0,1,0,0,0,0,0
ASV_1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,3,2,5,0,1,2,0,0,0,0,31,0,6,5,24,0,0,0,0,0,0,0,1,0
ASV_1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,18,16,34,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,0
ASV_1558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,14,2,6,0,0,1,0,7,0,2,2,0,1,0,0,0,0,0,0,0,1,3,2,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,24,0
ASV_1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,2,1,3,0,1,0
ASV_1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,6,3,3,4,0,0,0,0,0,0,0,0,0,0,24,7,18,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,18,9,0,15,6,4,6,0,0,3,0,0,0,0,3,0,5,5,5,0,0,0,0,0,0,1,0,0
ASV_1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,27,0,0,0,1,0
ASV_1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,5,2,0,4,4,0,1,2,0,2,4,2,0,3,1,3,4,3,4,8,3,2,4,0,2,0,5,1,8,0,0,0,0,0,0,0,0,0
ASV_1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,3,0,5,12,20,10,0,0,2,0,0,0,0,1,2,5,0,0,0,3,5,7,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
ASV_1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,18,1,0,0,0,0,0,0,0,0,2,0,3,7,6,7,0,6,5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
ASV_1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,6,0,6,0,0,0,0,1,0,0,8,0,7,16,30,0,4,0,0,0,1,1,4,0
ASV_1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,10,17,0,0,0,0,0,0,0,2,0,11,7,24,0,0,0,0,0,0,0,3,0
ASV_1568,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,30,20,5,0
ASV_1569,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,9,29,0,20,0,0,0,0,0
ASV_1570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,4,3,21,5,0,3,4,5,5,0,0,0,1,0,0,0,3,0,2,0,23,1,2,0,0,0,0,0,0,0
ASV_1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1,8,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
ASV_1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,0,0,0,0,0
ASV_1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,11,0,0,7,2,2,0,0,5,0,1,0,0,1,2,1,0,2,2,0,2,2,4,8,1,8,4,0,1,0,1,2,3,2,3,0,1,0,0,1,0,0
ASV_1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,16,0,14,0,1,2,1,0
ASV_1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,2,0,1,4,1,1,1,0,0,4,3,0,2,11,4,2,1,1,4,2,3,8,0,6,0,4,3,15,0,1,0,0,1,0,0,0,0
ASV_1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,26,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,21,0,15,25,9,9,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1578,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,28,0,17,0,0,2,0,0
ASV_1579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,0,0,0,0,1,1,2,0,0,0,4,13,9,0,9,12,10,12,0,0
ASV_1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,2,2,4,0,0,1,9,14,13,0,2,8,2,7,4,0,3,0,1,1,1,1,1,0,4,0,0,0,0,0
ASV_1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,3,3,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,1,1,0,1,0,2,1,1,27,17,0,8,0,0,0,0,0
ASV_1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,4,0,2,7,3,0,2,0,13,12,1,1,0,0,1,0,0,12,0,3,2,16,1,0,0,0,1,0,0,0,0
ASV_1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,9,14,3,13,11,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0
ASV_1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,2,0,0,0,0,1,0,3,4,0,0,0,0,0,1,0,0,0,3,1,3,2,0,2,0,0,2,0,8,0,0,2,4,1,4,0,22,0,0,0,0,0
ASV_1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,0,0,8,0,15,15,1,1,0,0,1,0,0,0,0,0,1,0,2,7,3,1,1,0,0,2,0,2,3,4,3,1,0,7,0,0,0,0,0
ASV_1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,20,12,2,40,3,1,5,0,0
ASV_1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,36,0,0,3,0,1,0,0,4,4,3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,5,0,20,0,0,1,0,0
ASV_1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,13,48,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ASV_1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,2,14,13,19,0,0,0,1,0,0,0,0,0,4,0,0,0,2,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,12,1,0,0,0,0,0,0,13,6,9,7,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
ASV_1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,9,12,10,0,0,0,0,0,0,0,0,0,0,7,5,16,0,1,1,0,0,0,1,0,3,0,0,0,0,2,0,0,2,0
ASV_1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,29,33,21,0,0
ASV_1593,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,18,1,36,7,1,1,0,0
ASV_1594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,0,3,0,4,4,0,0,1,0,1,0,0,5,0,5,5,37,2,1,0,2,0,0,0,0,0
ASV_1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,1,10,0,0,1,0,0
ASV_1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,18,8,0,34,0,0,0,0,0
ASV_1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,7,17,23,0,0
ASV_1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,44,2,0,0,0,0
ASV_1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,6,4,3,0,4,7,1,2,1,3,4,4,3,0,2,1,1,0,3,0,2,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
ASV_1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,8,17,2,0,1,1,1,0,1,0,0,3,3,0,0,3,4,7,0,0,0,1,8,1,0,2,0,0,1,6,2,1,0,6,0,0,0,0,0
ASV_1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,1,3,0,0,0,8,7,9,10,0,1,1,9,7,1,0,1,0,0,1,0,8,0,1,4,9,0,0,0,0,0,0,0,0,0
ASV_1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,5,0,1,1,1,2,0,2,1,2,4,1,1,1,2,8,8,0,5,0,7,2,24,0,2,0,1,0,0,1,0,0
ASV_1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,34,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,31,1,0,0,0,0,1,1,1,0,2,1,0,0,0,14,0,1,3,1,0,0,0,0,0,0,0,0,0
ASV_1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,23,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1607,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,7,9,44,0
ASV_1608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,1,2,2,0,0,0,0,0,1,3,0,1,0,1,3,0,2,6,3,4,0,0,0,1,0,0,0,1,0,3,4,15,3,4,0,3,1,5,0,0,0
ASV_1609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,3,3,4,0,8,8,10,7,1,1,2,0,1,0,0,1,0,2,4,18,2,0,0,0,0,0,0,1,0
ASV_1610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,1,0,0,0,1,0,2,2,0,2,4,13,14,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,1,0,0,0,0
ASV_1611,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,4,0,2,1,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,5,0,6,10,8,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,3,17,8,1,0
ASV_1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,8,4,0,33,4,9,5,0,0
ASV_1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,0,0,1,0,1,3,0,0,0,1,6,3,2,5,0,1,2,0,0,0,0,1,0,0,0,0,2,1,6,10,8,0,12,5,1,1,1,0
ASV_1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,5,2,0,0,1,1,0,0,0,0,0,0,19,21,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,35,0,0,0,0,0
ASV_1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,7,12,0,4,3,5,16,1,5,2,0,0,0,0,2,0,3,1,15,0,0,0,0,0,0,0,1,0
ASV_1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,4,10,0,9,17,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,4,5,0,0,7,1,3,0,0
ASV_1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,7,7,14,0,0,1,6,6,5,0,4,0,4,5,13,0,1,0,2,0,1,0,0,0
ASV_1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,9,0,10,20,11,5,0,0,2,0,0,0,1,0,0,0,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0
ASV_1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,17,21,10,7,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,24,16,12,13,0,0,0,1,2,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
